,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1185,Argentina,1989,male,5-14 years,0.055469953775038515,False,False,False,False,False
1186,Argentina,1989,male,55-74 years,2.6033254156769594,False,False,False,False,False
1187,Argentina,1989,male,75+ years,5.199999999999999,False,False,False,False,False
1188,Argentina,1990,female,15-24 years,0.3543613707165109,True,False,True,True,False
1189,Argentina,1990,female,25-34 years,0.33762772101288313,True,False,True,True,False
1190,Argentina,1990,female,35-54 years,0.45002760905577033,True,False,True,True,False
1191,Argentina,1990,female,5-14 years,0.04415011037527594,True,False,True,True,False
1192,Argentina,1990,female,55-74 years,0.7670569236980218,True,False,True,True,False
1193,Argentina,1990,female,75+ years,0.9486780715396579,True,False,True,True,False
1194,Argentina,1990,male,15-24 years,0.6603415559772297,True,False,True,True,False
1195,Argentina,1990,male,25-34 years,0.7923378319547236,True,False,True,True,False
1196,Argentina,1990,male,35-54 years,1.2130422768720641,True,False,True,True,False
1197,Argentina,1990,male,5-14 years,0.0672988681553992,True,False,True,True,False
1198,Argentina,1990,male,55-74 years,2.3590225563909772,True,False,True,True,False
1199,Argentina,1990,male,75+ years,5.4974458769155925,True,False,True,True,False
1200,Argentina,1991,female,15-24 years,0.22685013015991073,False,False,False,False,False
1201,Argentina,1991,female,25-34 years,0.33333333333333337,False,False,False,False,False
1202,Argentina,1991,female,35-54 years,0.36033595231644544,False,False,False,False,False
1203,Argentina,1991,female,5-14 years,0.0274641440341776,False,False,False,False,False
1204,Argentina,1991,female,55-74 years,0.6738437001594897,False,False,False,False,False
1205,Argentina,1991,female,75+ years,0.7598784194528876,False,False,False,False,False
1206,Argentina,1991,male,15-24 years,0.6537618699780862,False,False,False,False,False
1207,Argentina,1991,male,25-34 years,0.9398331137461572,False,False,False,False,False
1208,Argentina,1991,male,35-54 years,1.111731843575419,False,False,False,False,False
1209,Argentina,1991,male,5-14 years,0.08311071534579995,False,False,False,False,False
1210,Argentina,1991,male,55-74 years,2.107981220657277,False,False,False,False,False
1211,Argentina,1991,male,75+ years,4.646464646464646,False,False,False,False,False
1212,Argentina,1992,female,15-24 years,0.28381534039877854,False,False,False,False,False
1213,Argentina,1992,female,25-34 years,0.3391868103559315,False,False,False,False,False
1214,Argentina,1992,female,35-54 years,0.3727865796831314,False,False,False,False,False
1215,Argentina,1992,female,5-14 years,0.0396728515625,False,False,False,False,False
1216,Argentina,1992,female,55-74 years,0.5791049479987394,False,False,False,False,False
1217,Argentina,1992,female,75+ years,0.6784660766961652,False,False,False,False,False
1218,Argentina,1992,male,15-24 years,0.878585794432095,False,False,False,False,False
1219,Argentina,1992,male,25-34 years,0.9843031827248288,False,False,False,False,False
1220,Argentina,1992,male,35-54 years,1.3493336282696455,False,False,False,False,False
1221,Argentina,1992,male,5-14 years,0.06524704905391779,False,False,False,False,False
1222,Argentina,1992,male,55-74 years,2.325040688212044,False,False,False,False,False
1223,Argentina,1992,male,75+ years,4.7913064954309705,False,False,False,False,False
1224,Argentina,1993,female,15-24 years,0.25353384503177856,False,False,False,False,False
1225,Argentina,1993,female,25-34 years,0.32370730045148655,False,False,False,False,False
1226,Argentina,1993,female,35-54 years,0.37692388231598783,False,False,False,False,False
1227,Argentina,1993,female,5-14 years,0.04893265643158603,False,False,False,False,False
1228,Argentina,1993,female,55-74 years,0.49059689288634506,False,False,False,False,False
1229,Argentina,1993,female,75+ years,0.8304696449026345,False,False,False,False,False
1230,Argentina,1993,male,15-24 years,0.8014186815810115,False,False,False,False,False
1231,Argentina,1993,male,25-34 years,0.9973034284980525,False,False,False,False,False
1232,Argentina,1993,male,35-54 years,1.3479290907605588,False,False,False,False,False
1233,Argentina,1993,male,5-14 years,0.07423904974016332,False,False,False,False,False
1234,Argentina,1993,male,55-74 years,2.3946580704582088,False,False,False,False,False
1235,Argentina,1993,male,75+ years,5.536750483558995,False,False,False,False,False
1236,Argentina,1994,female,15-24 years,0.3298219634503416,True,False,False,True,False
1237,Argentina,1994,female,25-34 years,0.30381028735389676,True,False,False,True,False
1238,Argentina,1994,female,35-54 years,0.41177681696520485,True,False,False,True,False
1239,Argentina,1994,female,5-14 years,0.0337123417818505,True,False,False,True,False
1240,Argentina,1994,female,55-74 years,0.5197505197505198,True,False,False,True,False
1241,Argentina,1994,female,75+ years,0.47241906349867996,True,False,False,True,False
1242,Argentina,1994,male,15-24 years,0.8258456659619451,True,False,False,True,False
1243,Argentina,1994,male,25-34 years,0.9539890249050231,True,False,False,True,False
1244,Argentina,1994,male,35-54 years,1.4130201630201629,True,False,False,True,False
1245,Argentina,1994,male,5-14 years,0.08028545941123998,True,False,False,True,False
1246,Argentina,1994,male,55-74 years,2.321550741163056,True,False,False,True,False
1247,Argentina,1994,male,75+ years,4.537934294493027,True,False,False,True,False
1248,Argentina,1995,female,15-24 years,0.3307896374414568,False,False,False,False,False
1249,Argentina,1995,female,25-34 years,0.2586674454503734,False,False,False,False,False
1250,Argentina,1995,female,35-54 years,0.35188982557403614,False,False,False,False,False
1251,Argentina,1995,female,5-14 years,0.058262549446505774,False,False,False,False,False
1252,Argentina,1995,female,55-74 years,0.5103012300544575,False,False,False,False,False
1253,Argentina,1995,female,75+ years,0.6601994071678794,False,False,False,False,False
1254,Argentina,1995,male,15-24 years,0.8900742264066065,False,False,False,False,False
1255,Argentina,1995,male,25-34 years,0.9064825980290241,False,False,False,False,False
1256,Argentina,1995,male,35-54 years,1.2804266328739637,False,False,False,False,False
1257,Argentina,1995,male,5-14 years,0.0445990545000446,False,False,False,False,False
1258,Argentina,1995,male,55-74 years,2.326106594399277,False,False,False,False,False
1259,Argentina,1995,male,75+ years,4.3798985707699405,False,False,False,False,False
1260,Argentina,1996,female,15-24 years,0.3361505954667691,False,False,False,False,False
1261,Argentina,1996,female,25-34 years,0.21413276231263384,False,False,False,False,False
1262,Argentina,1996,female,35-54 years,0.43845444807055134,False,False,False,False,False
1263,Argentina,1996,female,5-14 years,0.027549895922615402,False,False,False,False,False
1264,Argentina,1996,female,55-74 years,0.4936317733062024,False,False,False,False,False
1265,Argentina,1996,female,75+ years,0.7701344472001044,False,False,False,False,False
